Input1,Input2,Input3,Input4,Input5,Input6,Input7,Input8,Input9,Input10,Input11,Input12,Input13,Input14,Input15,Input16,Input17,Input18,Input19,Input20,Input21,Input22,Input23,Input24,Input25,Input26,Input27,Input28,Input29,Input30,Input31,Input32,Input33,Input34,Input35,Input36,Input37,Input38,Input39,Input40,Input41,Input42,Input43,Input44,Input45,Input46,Input47,Input48,Input49,Input50,Input51,Input52,Input53,Input54,Input55,Input56,Input57,Input58,Input59,Input60,Input61,Input62,Input63,Input64,Input65,Input66,Input67,Input68,Input69,Input70,Input71,Input72,Input73,Input74,Input75,Input76,Input77,Input78,Input79,Input80,Input81,Input82,Input83,Input84,Input85,Input86,Input87,Input88,Input89,Input90,Input91,Input92,Input93,Input94,Input95,Input96,Input97,Input98,Input99,Input100,Input101,Input102,Input103,Input104,Input105,Input106,Input107,Input108,Input109,Input110,Input111,Input112,Input113,Input114,Input115,Input116,Input117,Input118,Input119,Input120,Input121,Input122,Input123,Input124,Input125,Input126,Input127,Input128,Input129,Input130,Input131,Input132,Input133,Input134,Input135,Input136,Input137,Input138,Input139,Input140,Input141,Input142,Input143,Input144,Input145,Input146,Input147,Input148,Input149,Input150,Input151,Input152,Input153,Input154,Input155,Input156,Input157,Input158,Input159,Input160,Input161,Input162,Input163,Input164,Input165,Input166,Input167,Input168,Input169,Input170,Input171,Input172,Input173,Input174,Input175,Input176,Input177,Input178,Input179,Input180,Input181,Input182,Input183,Input184,Input185,Input186,Input187,Input188,Input189,Input190,Input191,Input192,Output
24023.0,54904.0,25354.0,28636.0,7740.0,26803.0,21985.0,28036.0,32939.0,28270.0,31091.0,26633.0,32574.0,38729.0,33988.0,25512.0,29709.0,33681.0,28582.0,31504.0,44973.0,50447.0,45841.0,45891.0,58448.0,69427.0,70210.0,65199.0,60996.0,52803.0,35747.0,25913.0,35096.0,34806.0,23009.0,31504.0,43869.0,37329.0,40166.0,69113.0,79657.0,53027.0,4196.0,58982.0,91807.0,94381.0,91319.0,106562.0,118214.0,109085.0,96173.0,103384.0,115313.0,108978.0,82281.0,52864.0,47616.0,47256.0,31587.0,62562.0,123863.0,168104.0,179102.0,165588.0,149420.0,133249.0,98139.0,45405.0,55457.0,95964.0,98331.0,63118.0,50275.0,100351.0,135425.0,131693.0,91893.0,38518.0,39199.0,65861.0,22196.0,66888.0,21888.0,48647.0,17138.0,34100.0,18892.0,32253.0,26353.0,29476.0,40036.0,32511.0,72805.0,25590.0,18398.0,93541.0,14949.0,88147.0,5852.0,57184.0,11025.0,14250.0,26476.0,29443.0,33385.0,49506.0,29738.0,45958.0,23489.0,26586.0,8430.0,23878.0,17500.0,25336.0,28128.0,26666.0,30638.0,38634.0,32899.0,49422.0,33800.0,55672.0,37696.0,55462.0,39997.0,51959.0,34720.0,49995.0,28040.0,51759.0,53152.0,31828.0,47792.0,36458.0,34045.0,34117.0,30032.0,17769.0,26548.0,16979.0,19316.0,26661.0,11555.0,32989.0,10903.0,38473.0,8211.0,41482.0,16168.0,35665.0,33820.0,25776.0,36305.0,42515.0,57557.0,36684.0,68976.0,26009.0,22340.0,63990.0,14333.0,46150.0,5579.0,24808.0,28484.0,9706.0,41039.0,21219.0,35241.0,37006.0,22020.0,41111.0,32123.0,28358.0,7991.0,40755.0,27780.0,30695.0,43656.0,14808.0,24205.0,42478.0,32466.0,38276.0,29572.0,57600.0,21137.0,82053.0,14022.0,90918.0,15493.0,79950.0,19.200000762939453
57765.0,88219.0,77333.0,63088.0,60658.0,63446.0,64390.0,43523.0,20270.0,67374.0,27578.0,33755.0,36139.0,32045.0,41653.0,72919.0,97068.0,101891.0,107500.0,139604.0,160549.0,157103.0,173268.0,202753.0,210338.0,206296.0,217292.0,238700.0,237745.0,223906.0,238293.0,250479.0,234416.0,224026.0,229675.0,224607.0,200772.0,186003.0,193467.0,180423.0,147600.0,141009.0,139278.0,114788.0,89936.0,86879.0,82342.0,53505.0,34584.0,44398.0,27408.0,17485.0,38375.0,36857.0,27569.0,42949.0,54048.0,42526.0,48407.0,67012.0,60194.0,51694.0,63980.0,68104.0,56088.0,50807.0,64641.0,60886.0,46633.0,60876.0,65614.0,52302.0,55662.0,69645.0,68315.0,56587.0,68921.0,81327.0,67868.0,65683.0,4042.0,84023.0,20376.0,85467.0,20511.0,74346.0,12409.0,75104.0,87459.0,23547.0,85702.0,19799.0,73982.0,3997.0,26400.0,83140.0,29109.0,90775.0,12392.0,78038.0,16400.0,71196.0,36060.0,81383.0,32967.0,85982.0,8812.0,77319.0,32230.0,70491.0,84067.0,39208.0,93127.0,15727.0,81354.0,20294.0,36499.0,78251.0,29221.0,97230.0,17978.0,105884.0,43614.0,99534.0,54462.0,98774.0,35383.0,114809.0,44476.0,124255.0,113760.0,66779.0,116080.0,56948.0,136166.0,46160.0,65607.0,136438.0,76813.0,124934.0,63540.0,129366.0,54934.0,139254.0,77782.0,134701.0,77394.0,122890.0,56925.0,129838.0,71698.0,135805.0,119262.0,81727.0,113880.0,63491.0,124702.0,51715.0,69473.0,118473.0,74937.0,103982.0,53583.0,107009.0,59634.0,117313.0,80204.0,108707.0,66388.0,97335.0,58015.0,110643.0,80699.0,112351.0,96913.0,85986.0,100147.0,71274.0,110278.0,72635.0,95127.0,104325.0,92239.0,92709.0,70397.0,98539.0,82992.0,103763.0,93531.0,86889.0,74766.0,79465.0,19.200000762939453
98742.0,41403.0,59584.0,135261.0,25007.0,40979.0,112983.0,99822.0,149195.0,190677.0,53762.0,104661.0,174063.0,79746.0,100827.0,199006.0,112539.0,91407.0,224692.0,151923.0,79596.0,254354.0,202139.0,69743.0,285581.0,257770.0,89828.0,338967.0,334974.0,184295.0,467513.0,468994.0,675795.0,1523425.0,1897790.0,1155075.0,1136046.0,3319413.0,4775258.0,4668971.0,3118091.0,1026671.0,528037.0,962367.0,474077.0,258915.0,570179.0,332909.0,158418.0,405481.0,265817.0,106697.0,324720.0,242977.0,60747.0,259187.0,221556.0,42495.0,210007.0,201081.0,44908.0,175677.0,182627.0,48887.0,155897.0,169225.0,45264.0,149876.0,166286.0,31928.0,154859.0,178302.0,20503.0,173811.0,199333.0,73237.0,391469.0,590217.0,458049.0,47192.0,65095.0,431861.0,77199.0,680288.0,43385.0,630005.0,62507.0,415003.0,200735.0,82189.0,85999.0,47513.0,300736.0,50596.0,77681.0,352972.0,46374.0,63041.0,37450.0,615361.0,72956.0,1320614.0,48406.0,1732879.0,29998.0,1640902.0,70117.0,1105120.0,51604.0,411129.0,134432.0,31825.0,310450.0,73812.0,191000.0,60183.0,39700.0,54720.0,82384.0,178242.0,71713.0,141508.0,38819.0,27260.0,86731.0,120735.0,85577.0,120387.0,37212.0,33675.0,92319.0,79274.0,115425.0,89763.0,53676.0,36588.0,69248.0,76294.0,90086.0,125580.0,36819.0,102149.0,60841.0,66205.0,92186.0,78338.0,43349.0,55130.0,53964.0,21885.0,94569.0,65501.0,57390.0,51148.0,1715.0,43919.0,50841.0,91660.0,51833.0,54384.0,47946.0,11439.0,106165.0,40749.0,72392.0,49270.0,46440.0,14719.0,114244.0,36608.0,88070.0,45806.0,35480.0,12430.0,37052.0,119746.0,47166.0,109974.0,10008.0,35191.0,114835.0,41328.0,118398.0,57461.0,19258.0,22715.0,107658.0,38228.0,129301.0,60453.0,30463.0,29701.0,19.200000762939453
72967.0,31273.0,6566.0,103690.0,36499.0,53518.0,60870.0,44636.0,114031.0,70857.0,95378.0,8794.0,108501.0,131144.0,49714.0,83158.0,157722.0,115017.0,35704.0,159149.0,172823.0,53776.0,144444.0,228359.0,142461.0,109142.0,271202.0,255660.0,123160.0,325055.0,412417.0,293173.0,673630.0,1196021.0,1297082.0,879571.0,1151308.0,2332335.0,3171600.0,3173335.0,2339967.0,1079900.0,106258.0,635936.0,591412.0,191194.0,272649.0,403537.0,243723.0,117048.0,271160.0,245074.0,102307.0,172020.0,220797.0,138568.0,106852.0,177017.0,154821.0,96004.0,131462.0,147201.0,111028.0,105846.0,134121.0,128689.0,106477.0,109503.0,122947.0,127028.0,109291.0,103763.0,143829.0,142025.0,87517.0,166613.0,268377.0,253357.0,106390.0,124165.0,17675.0,273538.0,29325.0,284060.0,44290.0,172023.0,27159.0,61052.0,88076.0,15726.0,141941.0,41157.0,219173.0,38537.0,12731.0,196268.0,32206.0,94374.0,45232.0,505227.0,24179.0,980256.0,22182.0,1278548.0,49053.0,1253324.0,39462.0,915439.0,8251.0,423714.0,53792.0,40687.0,242013.0,48302.0,225749.0,20083.0,26839.0,81831.0,53775.0,107452.0,40394.0,153754.0,10053.0,99873.0,49782.0,52905.0,53546.0,99892.0,16431.0,96988.0,54651.0,35334.0,63047.0,58164.0,82225.0,37585.0,14648.0,65038.0,55159.0,46828.0,54895.0,60005.0,12626.0,62510.0,45710.0,47861.0,64710.0,43369.0,32705.0,51646.0,26516.0,48463.0,36745.0,65088.0,40564.0,54301.0,47692.0,4096.0,58132.0,38503.0,73768.0,29380.0,31788.0,40643.0,38968.0,41905.0,79137.0,26728.0,57531.0,28607.0,10884.0,40592.0,70287.0,32014.0,20072.0,75685.0,36385.0,18838.0,37428.0,62912.0,105897.0,18144.0,75280.0,25970.0,7659.0,37193.0,77563.0,23625.0,78644.0,14219.0,10432.0,34397.0,19.200000762939453
75707.0,77729.0,84558.0,134436.0,107075.0,94625.0,158836.0,77415.0,157523.0,190998.0,142366.0,42456.0,132235.0,172243.0,78567.0,88157.0,185090.0,132514.0,60310.0,209364.0,213810.0,67550.0,196202.0,278417.0,142201.0,167534.0,356980.0,278690.0,108098.0,434725.0,457608.0,174974.0,868804.0,1473053.0,1371543.0,447297.0,1462703.0,3093400.0,3955505.0,3655891.0,2382838.0,777960.0,461248.0,881340.0,575705.0,47289.0,452105.0,445681.0,111950.0,244142.0,357941.0,183789.0,109925.0,285830.0,229881.0,14091.0,180802.0,199658.0,45233.0,150985.0,220058.0,110954.0,90910.0,220982.0,181386.0,4043.0,173529.0,212728.0,86106.0,103453.0,204417.0,143752.0,86174.0,193234.0,166890.0,170946.0,371680.0,449052.0,331576.0,323781.0,19333.0,561000.0,17275.0,688550.0,50221.0,652515.0,56873.0,528973.0,303520.0,25704.0,78234.0,29392.0,446785.0,62594.0,51175.0,529705.0,4467.0,86785.0,49551.0,851778.0,64892.0,1927814.0,40420.0,2640955.0,34295.0,2625126.0,54626.0,1873900.0,38858.0,757131.0,276390.0,19454.0,677705.0,55520.0,520905.0,56691.0,21835.0,171597.0,31334.0,420838.0,39555.0,469182.0,6034.0,236347.0,46906.0,251091.0,71041.0,390495.0,44678.0,281868.0,198437.0,29793.0,394181.0,80176.0,427584.0,81571.0,31706.0,307746.0,46560.0,407963.0,69847.0,637037.0,33426.0,740457.0,53722.0,704379.0,106591.0,581339.0,97112.0,398167.0,32764.0,196430.0,137879.0,53668.0,178380.0,80235.0,124154.0,42191.0,24938.0,19229.0,57615.0,79055.0,24316.0,74926.0,51069.0,14244.0,104071.0,78083.0,84909.0,93772.0,16099.0,42863.0,96059.0,31258.0,71028.0,118751.0,58859.0,51381.0,35282.0,82346.0,159562.0,45354.0,138593.0,48240.0,47509.0,59191.0,95177.0,62537.0,121840.0,32411.0,53655.0,41016.0,19.200000762939453
139944.0,49741.0,32914.0,155120.0,68474.0,42596.0,104860.0,143733.0,250535.0,111111.0,201293.0,59212.0,186815.0,242036.0,139248.0,52144.0,141265.0,109517.0,145812.0,231540.0,163827.0,51932.0,270094.0,329696.0,187942.0,78996.0,218767.0,272701.0,379005.0,403536.0,116719.0,471092.0,1076340.0,1363328.0,1290475.0,1402229.0,1894240.0,2113536.0,1764979.0,1263644.0,1348224.0,1501378.0,1141508.0,476058.0,564617.0,810479.0,606846.0,194480.0,261984.0,304865.0,140257.0,172293.0,193052.0,61545.0,241842.0,337956.0,235636.0,156101.0,268351.0,243440.0,84779.0,131016.0,164708.0,49726.0,140938.0,217487.0,151355.0,146949.0,247350.0,223966.0,113849.0,155669.0,185546.0,92368.0,43787.0,99006.0,43013.0,140506.0,226252.0,181273.0,85056.0,90359.0,18279.0,150068.0,126207.0,141889.0,177419.0,135763.0,309972.0,126546.0,419840.0,114425.0,361262.0,203143.0,205442.0,128054.0,119936.0,282114.0,146558.0,820315.0,212976.0,1362889.0,166365.0,1674283.0,76848.0,1557523.0,145555.0,1011908.0,160502.0,278196.0,321830.0,70473.0,496760.0,72835.0,312558.0,133140.0,87580.0,336799.0,28130.0,564368.0,120371.0,570223.0,119029.0,542733.0,27984.0,721762.0,88939.0,854371.0,135539.0,855973.0,927318.0,87286.0,1083854.0,16405.0,1147905.0,97474.0,116452.0,1147213.0,80563.0,1214311.0,25540.0,1290599.0,53605.0,1275889.0,117513.0,1229892.0,136435.0,1228528.0,76975.0,1207159.0,61415.0,1110762.0,1003973.0,161028.0,933016.0,173681.0,838725.0,85676.0,79144.0,697110.0,159658.0,565716.0,137714.0,468861.0,32033.0,365792.0,75694.0,246586.0,99620.0,148317.0,51740.0,96487.0,94291.0,92000.0,118168.0,118632.0,133994.0,47530.0,138178.0,72166.0,145683.0,148953.0,116362.0,153712.0,42064.0,135484.0,107953.0,102716.0,107130.0,80575.0,56557.0,70859.0,19.200000762939453
142021.0,422.0,58087.0,111482.0,77380.0,52508.0,47702.0,141556.0,158793.0,26839.0,73606.0,109069.0,180676.0,131485.0,65618.0,184115.0,202607.0,92357.0,157010.0,252132.0,178982.0,110281.0,271532.0,282752.0,125609.0,264156.0,402744.0,275646.0,237802.0,530920.0,509222.0,283975.0,972376.0,1618291.0,1603727.0,703287.0,901732.0,2523057.0,3524925.0,3507717.0,2561290.0,1207211.0,426746.0,761076.0,644823.0,247691.0,360944.0,450562.0,260020.0,171341.0,315925.0,265090.0,116597.0,208449.0,238139.0,129447.0,123816.0,194187.0,146962.0,83443.0,155455.0,157093.0,82548.0,109430.0,141614.0,90692.0,70748.0,116614.0,94714.0,56267.0,107512.0,107918.0,46925.0,86969.0,118051.0,69080.0,20775.0,69070.0,66103.0,131171.0,58529.0,217308.0,58350.0,217856.0,20298.0,120930.0,44921.0,22224.0,41472.0,60781.0,43513.0,31599.0,169918.0,27193.0,63118.0,198580.0,59228.0,13512.0,20781.0,413869.0,53334.0,919058.0,76163.0,1279382.0,45655.0,1310499.0,26430.0,992173.0,64833.0,486733.0,142655.0,56901.0,285654.0,13997.0,246180.0,52454.0,74343.0,58383.0,46315.0,154157.0,37996.0,196626.0,79447.0,90960.0,69677.0,71218.0,22595.0,153747.0,61642.0,116304.0,14473.0,80160.0,112510.0,45711.0,130021.0,35248.0,80166.0,47976.0,72863.0,69541.0,27648.0,132757.0,71577.0,103061.0,89553.0,18097.0,45684.0,65168.0,45984.0,77053.0,91593.0,25030.0,53131.0,77598.0,86891.0,26295.0,52277.0,80156.0,103822.0,25439.0,55980.0,81086.0,52330.0,73917.0,105562.0,14446.0,87341.0,54871.0,32202.0,78711.0,88771.0,44696.0,110512.0,23658.0,72458.0,60521.0,65152.0,63812.0,8755.0,120938.0,98760.0,53844.0,44734.0,70288.0,111731.0,33600.0,126977.0,26235.0,58916.0,64018.0,77942.0,53269.0,19.200000762939453
68585.0,191793.0,170971.0,63960.0,95857.0,64938.0,102503.0,52738.0,73826.0,164923.0,99394.0,74775.0,49754.0,138915.0,188011.0,144589.0,49969.0,139473.0,220468.0,205580.0,106634.0,70093.0,159375.0,173356.0,107003.0,121724.0,204657.0,176235.0,24010.0,148254.0,167701.0,132361.0,591244.0,1064556.0,1244711.0,1009337.0,850157.0,1442862.0,2010169.0,2042658.0,1507672.0,696108.0,137236.0,331091.0,213839.0,156242.0,340313.0,297201.0,171214.0,322954.0,387937.0,251959.0,130546.0,252881.0,259081.0,130989.0,77636.0,171942.0,189311.0,139789.0,62594.0,107808.0,172842.0,140420.0,77565.0,176420.0,208744.0,146007.0,185021.0,248901.0,223335.0,272284.0,326214.0,184730.0,545678.0,1252836.0,1808933.0,1944305.0,1629174.0,1086694.0,180073.0,652640.0,236243.0,524942.0,211138.0,612769.0,136554.0,741468.0,705261.0,101434.0,431214.0,102489.0,129853.0,60262.0,15837.0,203071.0,68739.0,221540.0,68230.0,704709.0,45080.0,1354318.0,57018.0,1754847.0,40369.0,1667786.0,51691.0,1113773.0,128445.0,353228.0,274393.0,164199.0,513546.0,148643.0,386671.0,151699.0,191335.0,333826.0,186771.0,549377.0,127845.0,544338.0,111179.0,307393.0,150107.0,434010.0,148129.0,669992.0,103861.0,568021.0,367842.0,50340.0,684109.0,19303.0,789627.0,86429.0,139545.0,394866.0,125021.0,1088680.0,38738.0,2377797.0,107642.0,3278195.0,190335.0,3358685.0,180459.0,2600036.0,105723.0,1382549.0,120872.0,319201.0,478516.0,179485.0,504501.0,158467.0,204910.0,64117.0,42939.0,277704.0,97541.0,388782.0,82538.0,236348.0,52594.0,42579.0,96822.0,237613.0,129318.0,249545.0,111397.0,117164.0,52426.0,74387.0,152948.0,21360.0,138532.0,81760.0,68693.0,116960.0,120449.0,5930.0,100684.0,71531.0,83679.0,115480.0,91886.0,105915.0,105161.0,68239.0,94991.0,132881.0,19.200000762939453
8852.0,23615.0,21350.0,35229.0,15760.0,50683.0,1333.0,30536.0,17284.0,30636.0,50442.0,45160.0,6899.0,51066.0,66900.0,31988.0,32733.0,78977.0,68132.0,3894.0,76257.0,100526.0,45653.0,53982.0,123340.0,101952.0,9492.0,139078.0,187876.0,95175.0,111051.0,326045.0,445023.0,444633.0,395758.0,383459.0,523397.0,890948.0,1318217.0,1560014.0,1450569.0,998456.0,388893.0,150073.0,371941.0,293067.0,51365.0,188393.0,237289.0,109778.0,83885.0,192831.0,154385.0,16071.0,129148.0,160199.0,69278.0,71979.0,151356.0,114189.0,12393.0,121976.0,141216.0,52626.0,82609.0,157782.0,115076.0,22234.0,149658.0,172246.0,64451.0,119602.0,226422.0,162852.0,121397.0,456818.0,724637.0,777237.0,581857.0,231709.0,18870.0,160108.0,15781.0,371190.0,15293.0,396392.0,23448.0,281504.0,160787.0,25613.0,127476.0,19951.0,80906.0,20496.0,26093.0,28733.0,22045.0,119953.0,15323.0,186178.0,21913.0,263148.0,22845.0,371302.0,15170.0,443793.0,17267.0,420144.0,21560.0,305454.0,166303.0,17289.0,98304.0,18733.0,91144.0,26828.0,22932.0,55059.0,10253.0,37327.0,20482.0,63743.0,25030.0,51180.0,13739.0,11217.0,13893.0,39329.0,24229.0,47583.0,21075.0,19661.0,17888.0,8728.0,39837.0,21820.0,26759.0,29624.0,16394.0,5188.0,16873.0,39513.0,25226.0,49934.0,18387.0,33676.0,13471.0,20363.0,24106.0,29942.0,22157.0,24079.0,8529.0,10708.0,26265.0,22639.0,33119.0,29498.0,17335.0,19702.0,15515.0,12474.0,29994.0,26180.0,24379.0,22721.0,9078.0,9696.0,26199.0,21379.0,31598.0,26617.0,16403.0,16422.0,13326.0,15336.0,25071.0,34522.0,23788.0,35356.0,20787.0,13996.0,8435.0,21320.0,16387.0,27011.0,36015.0,19523.0,48868.0,13424.0,38457.0,20879.0,19.200000762939453
26401.0,49593.0,96186.0,51071.0,105486.0,42621.0,93108.0,13795.0,27536.0,73350.0,34578.0,27848.0,47275.0,55579.0,34805.0,39478.0,69102.0,70227.0,48924.0,46544.0,53356.0,48308.0,65260.0,92967.0,105995.0,105343.0,92932.0,85602.0,109252.0,114748.0,101186.0,231780.0,421394.0,540084.0,525480.0,401877.0,274713.0,254592.0,315725.0,397658.0,430779.0,340942.0,133836.0,104564.0,227506.0,186060.0,23577.0,136884.0,177496.0,68466.0,109646.0,222216.0,187128.0,58942.0,143619.0,175488.0,76957.0,135744.0,225576.0,157845.0,58901.0,211144.0,212133.0,51757.0,231161.0,348575.0,233984.0,111918.0,351244.0,365363.0,89402.0,341601.0,551764.0,308303.0,455899.0,1378932.0,2071214.0,2168009.0,1593034.0,602246.0,13649.0,425418.0,24823.0,1015973.0,35267.0,1086618.0,32884.0,748959.0,274021.0,35305.0,107902.0,51186.0,253833.0,55889.0,46046.0,235586.0,41994.0,159611.0,46787.0,103785.0,37305.0,73485.0,21786.0,54039.0,34888.0,142429.0,37985.0,263086.0,28056.0,316224.0,251201.0,46109.0,94495.0,64924.0,80810.0,59314.0,42514.0,153239.0,54026.0,105809.0,68671.0,36449.0,60663.0,137651.0,45447.0,183115.0,45119.0,184764.0,43240.0,196257.0,213042.0,30073.0,191402.0,15896.0,133083.0,12362.0,15283.0,360378.0,19918.0,819611.0,15189.0,1289732.0,10684.0,1554107.0,34699.0,1461033.0,44872.0,1018640.0,34203.0,420246.0,31705.0,266099.0,492224.0,45215.0,444038.0,41661.0,227325.0,28358.0,45542.0,150687.0,61702.0,187916.0,58332.0,91944.0,59580.0,89690.0,70533.0,206378.0,62267.0,204542.0,39756.0,118617.0,46216.0,101464.0,126807.0,56776.0,81468.0,45679.0,17015.0,56826.0,94326.0,64481.0,112312.0,57829.0,107117.0,29892.0,93118.0,67574.0,67151.0,71464.0,23701.0,24391.0,19.200000762939453
